date,day_of_week,home_departure_time,home_departure_mileage,park_in_line_southworth,park_on_southworth_ferry_time,park_on_southworth_ferry_mileage,southworth_ferry_launch_time,fauntleroy_ferry_landing_time,fauntleroy_ferry_departure_time,work_arrival_time,work_arrival_mileage,comments_home_to_work,work_departure_time,work_departure_mileage,park_in_line_fauntleroy,park_on_fauntleroy_ferry_time,park_on_fauntleroy_ferry_mileage,fauntleroy_ferry_launch_time,southworth_ferry_landing_time,southworth_ferry_departure_time,home_arrival_time,home_arrival_mileage,comments_work_to_home
5/18/2023,Thu,7:36,50321,8:06,8:41,50337,8:49,9:24,9:28,10:03,50354,,,,,,,,,,,,
5/25/2023,Thu,7:29,16612,7:55,8:59,16628,9:05,9:42,9:46,10:19,16643,,,,,,,,,,,,
6/1/2023,Thu,5:57,50906,6:20,6:36,50922,6:41,7:17,7:21,7:58,50939,,,,,,,,,,,,
6/5/2023,Mon,5:58,50993,6:24,6:36,51009,6:41,7:17,7:21,7:54,51026,,,,,,,,,,,,
6/15/2023,Thu,5:54,51635,6:17,6:40,51651,6:43,7:20,7:24,7:59,51668,,,,,,,,,,,,
6/29/2023,Thu,7:37,52107,8:03,8:34,52123,8:38,9:15,9:19,9:54,52140,,,,,,,,,,,,
7/10/2023,Mon,7:32,52318,7:57,8:25,52334,8:29,9:04,9:07,9:37,52350,,,,,,,,,,,,
7/13/2023,Thu,5:48,52542,6:12,6:38,52558,6:46,7:20,7:23,7:59,52575,,,,,,,,,,,,
7/20/2023,Thu,7:41,52746,8:05,8:28,52762,8:36,9:09,9:13,9:50,52778,,,,,,,,,,,,
7/24/2023,Mon,7:33,21968,7:58,7:58,21994,8:01,8:37,8:40,9:15,22009,unscheduled ferry,,,,,,,,,,,
7/31/2023,Mon,7:44,22642,8:08,8:26,22657,8:28,9:03,9:05,9:35,22673,,,,,,,,,,,,
8/3/2023,Thu,7:27,23008,7:52,7:57,23024,8:01,8:38,8:41,9:14,23040,unscheduled ferry,,,,,,,,,,,
8/7/2023,Mon,7:43,53314,8:07,8:31,53330,8:34,9:11,9:16,9:46,53346,,,,,,,,,,,,
8/8/2023,Tue,5:41,23403,6:04,6:36,23419,6:41,7:17,7:21,7:51,23435,,17:22,23435,18:12,18:12,23453,18:14,18:52,18:54,19:13,23435,
8/10/2023,Thu,7:35,53401,8:00,8:34,53417,8:39,9:13,9:16,9:48,53433,,,,,,,,,,,,
8/14/2023,Mon,7:31,53574,7:54,8:36,53590,8:40,9:19,9:23,9:57,53605,,,,,,,,,,,,
8/15/2023,Tue,7:32,53664,8:04,8:34,53680,8:39,9:16,9:21,9:57,53694,got gas near WA-16 overpass,,,,,,,,,,,
8/17/2023,Thu,7:37,53749,8:03,8:36,53765,8:49,9:23,9:26,9:54,53782,paid for one-way trip,,,,,,,,,,,
8/21/2023,Mon,5:48,53863,6:10,6:35,53879,6:41,7:19,7:24,7:52,53896,,,,,,,,,,,,
8/22/2023,Tue,7:26,53951,7:49,7:56,53967,8:02,8:40,8:42,9:12,53983,unscheduled ferry,,,,,,,,,,,
8/24/2023,Thu,7:28,24344,7:53,7:56,24360,8:02,8:40,8:41,9:13,24376,unscheduled ferry,,,,,,,,,,,
8/31/2023,Thu,7:41,54037,8:06,8:32,54053,8:36,9:12,9:15,9:50,54066,got gas in Fauntleroy,,,,,,,,,,,
9/11/2023,Mon,5:52,26230,6:14,6:41,26246,6:50,7:27,7:31,8:07,26262,,,,,,,,,,,,
10/3/2023,Tue,7:46,54713,8:16,8:33,54727,8:37,9:13,9:17,9:49,54746,got gas near WA-16 overpass,,,,,,,,,,,
10/5/2023,Thu,7:52,54800,8:19,8:35,54816,8:46,9:19,9:23,9:59,54831,,,,,,,,,,,,
10/10/2023,Tue,7:49,55099,8:12,8:37,55115,8:43,9:23,9:28,10:02,55132,,,,,,,,,,,,
10/16/2023,Mon,5:53,29120,6:16,6:36,29136,6:43,7:18,7:22,7:57,29150,,,,,,,,,,,,
10/19/2023,Thu,7:44,55489,8:09,8:36,55503,8:46,9:23,9:26,9:55,55520,,,,,,,,,,,,
11/6/2023,Mon,7:45,30544,8:10,8:28,30560,8:34,9:12,9:16,9:47,30574,,,,,,,,,,,,
